Catalog_Number,Date,TD_Greatest_Eclipse,Delta_T,Saros,Type,Type_Full,Gamma,Penumbral_Magnitude,Umbral_Magnitude,Penumbral_Duration_Min,Partial_Duration_Min,Total_Duration_Min,Zenith_Latitude,Zenith_Longitude,P1_UTC_ms,U1_UTC_ms,U2_UTC_ms,Max_UTC_ms,U3_UTC_ms,U4_UTC_ms,P4_UTC_ms
09173,1801-03-30,05:24:05,13,119,T,T+,0.0052,2.8569,1.84,344.5,222.3,102.1,-4,-80,-5325514103000,-5325510437000,-5325506831000,-5325503768000,-5325500705000,-5325497099000,-5325493433000
09174,1801-09-22,07:18:55,13,124,T,T-,-0.1074,2.6548,1.6669,332.1,216.4,98.2,-1,-111,-5310300441000,-5310296970000,-5310293424000,-5310290478000,-5310287532000,-5310283986000,-5310280515000
09175,1802-03-19,11:15:28,13,129,P,P,-0.7517,1.5156,0.4422,324.4,151.7,0,0,-167,-5294906817000,-5294901636000,,-5294897085000,,-5294892534000,-5294887353000
09176,1802-09-11,22:36:46,13,134,P,P,0.6105,1.7134,0.7615,292.6,170,0,-4,20,-5279658585000,-5279654907000,,-5279649807000,,-5279644707000,-5279641029000
09177,1803-02-06,17:10:42,13,101,N,N,1.5322,0.0918,-0.998,93,0,0,17,107,-5266884961000,,,-5266882171000,,,-5266879381000
09178,1803-03-08,11:17:40,13,139,N,N,-1.4653,0.2167,-0.8776,143.2,0,0,4,-167,-5264315649000,,,-5264311353000,,,-5264307057000
09179,1803-08-03,07:05:09,12,106,N,N,-1.2349,0.579,-0.3953,200,0,0,-19,-104,-5251545303000,,,-5251539303000,,,-5251533303000
09180,1803-09-01,15:19:10,12,144,N,N,1.3282,0.4003,-0.5589,165.1,0,0,-7,130,-5249009015000,,,-5249004062000,,,-5248999109000
09181,1804-01-26,21:21:21,12,111,P,P,0.7882,1.4319,0.3918,302.3,137.8,0,20,43,-5236290600000,-5236285665000,,-5236281531000,,-5236277397000,-5236272462000
09182,1804-07-22,17:38:00,12,116,P,P,-0.5141,1.9284,0.9011,335,195.8,0,-21,97,-5220925782000,-5220921606000,,-5220915732000,,-5220909858000,-5220905682000
09183,1805-01-15,08:40:58,12,121,T,T+,0.0663,2.7305,1.742,326.7,213.2,98.1,21,-128,-5205664955000,-5205661550000,-5205658097000,-5205655154000,-5205652211000,-5205648758000,-5205645353000
09184,1805-07-11,21:04:52,12,126,T,T+,0.2561,2.4214,1.3554,368.1,227.6,87.6,-22,45,-5190328763000,-5190324548000,-5190320348000,-5190317720000,-5190315092000,-5190310892000,-5190306677000
09185,1806-01-05,00:02:04,12,131,P,P,-0.5981,1.7459,0.7748,294.8,170.5,0,22,1,-5175023132000,-5175019403000,,-5175014288000,,-5175009173000,-5175005444000
09187,1806-11-26,02:05:38,12,103,N,N,1.4853,0.145,-0.8797,107.8,0,0,22,-35,-5146930108000,,,-5146926874000,,,-5146923640000
09188,1806-12-25,14:48:04,12,141,N,N,-1.2891,0.4923,-0.5071,186,0,0,22,138,-5144381108000,,,-5144375528000,,,-5144369948000
09189,1807-05-21,16:49:32,12,108,P,P,-0.9423,1.1229,0.1346,267.4,82,0,-21,107,-5131675462000,-5131669900000,,-5131667440000,,-5131664980000,-5131659418000
09190,1807-11-15,08:09:59,12,113,P,P,0.8473,1.3426,0.2646,310.7,120.1,0,19,-126,-5116328734000,-5116323016000,,-5116319413000,,-5116315810000,-5116310092000
09191,1808-05-10,07:38:16,12,118,T,T-,-0.1736,2.5145,1.5637,317.5,209.2,92.8,-18,-116,-5101038041000,-5101034792000,-5101031300000,-5101028516000,-5101025732000,-5101022240000,-5101018991000
09192,1808-11-03,08:13:38,12,123,T,T+,0.1607,2.6121,1.5148,376.3,232.3,98.1,15,-127,-5085744883000,-5085740563000,-5085736537000,-5085733594000,-5085730651000,-5085726625000,-5085722305000
09193,1809-04-30,00:33:02,12,128,P,P,0.549,1.8275,0.8733,299.3,179.4,0,-14,-9,-5070391009000,-5070387412000,,-5070382030000,,-5070376648000,-5070373051000
09194,1809-10-23,09:02:46,12,133,P,P,-0.544,1.8924,0.8275,341.8,192.6,0,11,-139,-5055155300000,-5055150824000,,-5055145046000,,-5055139268000,-5055134792000
09195,1810-03-21,02:54:49,12,100,N,N,-1.4209,0.2689,-0.7674,148.7,0,0,-1,-42,-5042297984000,,,-5042293523000,,,-5042289062000
09196,1810-04-19,14:54:06,12,138,N,N,1.3165,0.4414,-0.557,180.6,0,0,-10,137,-5039750184000,,,-5039744766000,,,-5039739348000
09197,1810-09-13,06:27:11,12,105,N,N,1.4299,0.2202,-0.752,126.2,0,0,-3,-98,-5027078167000,,,-5027074381000,,,-5027070595000
09198,1810-10-12,16:39:20,12,143,N,N,-1.223,0.6167,-0.3889,210.1,0,0,6,107,-5024538355000,,,-5024532052000,,,-5024525749000
09199,1811-03-10,06:37:39,12,110,P,P,-0.7527,1.5205,0.434,329,151.9,0,4,-97,-5011704423000,-5011699110000,,-5011694553000,,-5011689996000,-5011684683000
09200,1811-09-02,22:41:52,12,115,P,P,0.6972,1.5522,0.6045,283.3,155.1,0,-7,19,-4996438799000,-4996434953000,,-4996430300000,,-4996425647000,-4996421801000
09201,1812-02-27,06:04:51,12,120,T,T-,-0.0538,2.8057,1.7135,375.5,234.1,104.3,9,-88,-4981122186000,-4981117944000,-4981114050000,-4981110921000,-4981107792000,-4981103898000,-4981099656000
09202,1812-08-22,15:01:22,12,125,T,T-,-0.0228,2.7998,1.832,326.7,215.4,100.4,-12,135,-4965795731000,-4965792392000,-4965788942000,-4965785930000,-4965782918000,-4965779468000,-4965776129000
09203,1813-02-15,08:50:46,12,130,P,P,0.6453,1.6993,0.6488,324.2,172.5,0,13,-129,-4950525092000,-4950520541000,,-4950515366000,,-4950510191000,-4950505640000
09204,1813-08-12,02:52:49,12,135,P,P,-0.8085,1.3834,0.3655,299,134.5,0,-16,-42,-4935166613000,-4935161678000,,-4935157643000,,-4935153608000,-4935148673000
